tradename,busloc,jobstatusdesc,licencetypes,comdistnm
7 ELEVEN FOOD STORE #25630,6828 4 ST NW CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FUEL SALES/STORAGE, FOOD SERVICE - PREMISES (NO SEATING)",HUNTINGTON HILLS                        
7 ELEVEN FOOD STORE #26093,5320 8 AV SE CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FUEL SALES/STORAGE, FOOD SERVICE - PREMISES (NO SEATING)",PENBROOKE MEADOWS                       
7 ELEVEN FOOD STORE #26509,4444 16 AV NW CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FUEL SALES/STORAGE, FOOD SERVICE - PREMISES (NO SEATING)",MONTGOMERY                              
7 ELEVEN FOOD STORE #27908,6408 OLD BANFF COACH RD SW CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (NO SEATING)",PATTERSON                               
7 ELEVEN FOOD STORE #29433,#1 2417 4 ST NW CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FUEL SALES/STORAGE, FOOD SERVICE - PREMISES (NO SEATING)",MOUNT PLEASANT                          
7 ELEVEN FOOD STORE #29510,9128 MACLEOD TR SE CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FUEL SALES/STORAGE, FOOD SERVICE - PREMISES (NO SEATING)",ACADIA                                  
7 ELEVEN FOOD STORE #32168,16311 6 ST SW CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FUEL SALES/STORAGE, FOOD SERVICE - PREMISES",SOMERSET                                
7 ELEVEN FOOD STORE #32169,7102 ELBOW DR SW CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FUEL SALES/STORAGE, FOOD SERVICE - PREMISES",KINGSLAND                               
7 ELEVEN FOOD STORE #32192,10099 HIDDEN VALLEY DR NW CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FUEL SALES/STORAGE, FOOD SERVICE - PREMISES",HIDDEN VALLEY                           
7 ELEVEN FOOD STORE #32279,166 CROWFOOT WY NW CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FUEL SALES/STORAGE, FOOD SERVICE - PREMISES",ARBOUR LAKE                             
7 ELEVEN FOOD STORE #32344,3455 DOUGLASDALE BV SE CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FUEL SALES/STORAGE, FOOD SERVICE - PREMISES",DOUGLASDALE/GLEN                        
7 ELEVEN FOOD STORE #32846,3963 52 ST SE CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FUEL SALES/STORAGE, FOOD SERVICE - PREMISES (NO SEATING)",ERIN WOODS
7 ELEVEN FOOD STORE #32847,3510 39 AV NE CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (NO SEATING)",HORIZON                                 
7 ELEVEN FOOD STORE #32891,150 CITADEL WY NW CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FUEL SALES/STORAGE, FOOD SERVICE - PREMISES (NO SEATING)",CITADEL                                 
7 ELEVEN FOOD STORE #33010H,7712 RANCHVIEW DR NW CALGARY,Renewal Invoiced,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES",RANCHLANDS                              
7 ELEVEN FOOD STORE #33169,#2 1704 61 ST SE CALGARY,Pending Renewal,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FUEL SALES/STORAGE, FOOD SERVICE - PREMISES (NO SEATING)",RED CARPET                              
7 ELEVEN FOOD STORE #33296,#100 11488 24 ST SE CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FUEL SALES/STORAGE, FOOD SERVICE - PREMISES (NO SEATING)",SHEPARD INDUSTRIAL                      
7 ELEVEN FOOD STORE #34266,120 36 ST SE CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FUEL SALES/STORAGE, FOOD SERVICE - PREMISES",FOREST HEIGHTS                          
7 ELEVEN FOOD STORE #34474,#8 920 NORTHMOUNT DR NW CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (NO SEATING)",COLLINGWOOD                             
7 ELEVEN FOOD STORE #34680,#103 10 COPPERSTONE ST SE CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES",COPPERFIELD
7 ELEVEN FOOD STORE #36786H,#7 4105 4 ST NW CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES",HIGHWOOD                                
7 ELEVEN FOOD STORE #37216,#103 13 SOUTHLAND CR SW CALGARY,Renewal Invoiced,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES",SOUTHWOOD                               
7 ELEVEN FOOD STORE 15901,#34 4604 37 ST SW CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (NO SEATING)",RUTLAND PARK                            
7 ELEVEN FOOD STORE 19294,7233 OGDEN RD SE CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (NO SEATING)",OGDEN                                   
7 ELEVEN FOOD STORE 20916,2604A KENSINGTON RD NW CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (NO SEATING)",WEST HILLHURST                          
7 ELEVEN FOOD STORE 21855,6306 BOWNESS RD NW CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (NO SEATING)",BOWNESS                                 
7 ELEVEN FOOD STORE 21914,2018 SPILLER RD SE CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (NO SEATING)",RAMSAY                                  
7 ELEVEN FOOD STORE 23903,287 FALSHIRE DR NE CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FUEL SALES/STORAGE, FOOD SERVICE - PREMISES (NO SEATING)",FALCONRIDGE                             
7 ELEVEN FOOD STORE 25750,950 QUEENSLAND DR SE CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FUEL SALES/STORAGE, FOOD SERVICE - PREMISES (NO SEATING)",QUEENSLAND                              
7 ELEVEN FOOD STORE GAS BAR,4001 MACLEOD TR SW CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FUEL SALES/STORAGE, FOOD SERVICE - PREMISES (NO SEATING)",PARKHILL                                
7 ELEVEN FOOD STORE GAS BAR #32741,150 96 AV NE CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FUEL SALES/STORAGE, FOOD SERVICE - PREMISES (NO SEATING)",HARVEST HILLS                           
7 ELEVEN FOOD STORES & PETRO CANADA GAS BAR 24216,615 SHAWCLIFFE GA SW CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FUEL SALES/STORAGE, FOOD SERVICE - PREMISES (NO SEATING)",SHAWNESSY                               
7 FOR ALL MANKIND,#1218 6455 MACLEOD TR SW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,MEADOWLARK PARK                         
7 SEAS SEAFOOD AND GRILL,7521 MACLEOD TR SW CALGARY,Renewal Invoiced,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",KINGSLAND                               
722 WORLD BIER HAUS RESTAURANT & LOUNGE,#601 722 85 ST SW CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING), OUTDOOR PATIO",WEST SPRINGS
7-ELEVEN (CANADA STORE #37257),580 ACADIA DR SE CALGARY,Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (NO SEATING)",ACADIA                                  
7-ELEVEN FOOD STORE,#815 2335 162 AV SW CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FUEL SALES/STORAGE, FOOD SERVICE - PREMISES (NO SEATING)",BRIDLEWOOD                              
7-ELEVEN FOOD STORE #33420,407 HAWKWOOD BV NW CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (NO SEATING)",HAWKWOOD                                
7TH CHAKRA,1301 17 AV SW CALGARY,Renewal Licensed,"PERSONAL SERVICE, PSYCHIC PRACTITIONER, RETAIL DEALER - PREMISES, BODY RUB CENTRE (GRANDFATHERED MASSAGE CENTRE COMMERCIAL)",MOUNT ROYAL LOWER                       
80TH & IVY MODERN KITCHEN,1127 17 AV SW CALGARY,Renewal Licensed,"ENTERTAINMENT ESTABLISHMENT, ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING), OUTDOOR PATIO",MOUNT ROYAL LOWER                       
822 10 STREET,822 10 ST NW CALGARY,Renewal Invoiced,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),SUNNYSIDE                               
840 - 7TH AVENUE SW,840 7 AV SW CALGARY,Renewal Licensed,OFFICE BUILDING OPERATOR,DOWNTOWN COMMERCIAL CORE                
84TH STREET STORAGE,4313 84 ST NE CALGARY,Renewal Licensed,WAREHOUSING,RESIDUAL WARD 5 - SUB AREA 5C           
891786 ALBERTA,809 12 AV SW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),BELTLINE                                
8-OZ COFFEE,3921 MANCHESTER RD SE CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, WHOLESALER, FOOD SERVICE - PREMISES",MANCHESTER INDUSTRIAL                   
9 ROUND 30 MINUTE KICKBOX FITNESS,#436 10816 MACLEOD TR SE CALGARY,Licensed,"FOOD SERVICE - PREMISES, PERSONAL SERVICE (FITNESS CONDITIONING)",WILLOW PARK                             
9 ROUND SHEPARD,5272 130 AV SE CALGARY,Licensed,"RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES, PERSONAL SERVICE (FITNESS CONDITIONING)",EAST SHEPARD INDUSTRIAL                 
900 DEGREE PIZZA,2829 14 ST SW CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES (NO SEATING),SOUTH CALGARY                           
911 SUPPLY & ADVENTURE GEAR,4327A MANHATTAN RD SE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,MANCHESTER INDUSTRIAL                   
9TH AVE ANIMAL CLINIC,1016 9 AV SW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,DOWNTOWN WEST END                       
A & A DRYWALL CONTRACTORS,#125 2432 48 ST SE CALGARY,Renewal Licensed,CONTRACTOR,FOREST LAWN INDUSTRIAL                  
A & A FOODS & DELI,1401 20 AV NW CALGARY,Pending Renewal,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES",CAPITOL HILL                            
A & A MANUFACTURING,#9 1231 36 AV NE CALGARY,Renewal Licensed,MANUFACTURER,MCCALL                                  
A & A PAVING,1515 9 AV SE CALGARY,Renewal Licensed,CONTRACTOR,INGLEWOOD                               
A & B CARPET SALES INSTALLATION,4643 37 ST SW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,GLAMORGAN                               
A & B PLUMBING AND HEATING,428 MORAINE RD NE CALGARY,Renewal Licensed,CONTRACTOR,MERIDIAN                                
A & B PROPERTY,111 23 AV SW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),MISSION                                 
A & B RAIL SERVICES,#23 1725 30 AV NE CALGARY,Renewal Licensed,CONTRACTOR,SOUTH AIRWAYS                           
A & C METAL WORKS ,4370 116 AV SE CALGARY,Renewal Licensed,"MANUFACTURER, CONTRACTOR (NO DEPOSITS OR PROGRESS PAYMENTS)",EAST SHEPARD INDUSTRIAL                 
A & C STARTEK AUTO,#109 3208 8 AV NE CALGARY,Renewal Licensed,MOTOR VEHICLE REPAIR AND SERVICE (1),FRANKLIN                                
A & D AUTO,#4 5100 HUBALTA RD SE CALGARY,Renewal Licensed,"AUTO BODY SHOP, MOTOR VEHICLE REPAIR AND SERVICE (1)",FOREST LAWN INDUSTRIAL                  
A & K SHAWARMA,1439 17 AV SW CALGARY,Licensed,FOOD SERVICE - PREMISES (SEATING),BANKVIEW                                
A & M MOBILE MECHANIC / A & M AUTO SALES,520 35 AV NE CALGARY,Renewal Licensed,"MOTOR VEHICLE DEALER - PREMISES, MOTOR VEHICLE REPAIR AND SERVICE (1)",GREENVIEW INDUSTRIAL PARK               
A & P APPLIANCES SERVICES,1155 NORTHMOUNT DR NW CALGARY,Renewal Invoiced,SECONDHAND DEALER,BRENTWOOD                               
A & P CHINESE FOOD EXPRESS,#7 8 WESTON DR SW CALGARY,Renewal Invoiced,FOOD SERVICE - PREMISES (NO SEATING),WEST SPRINGS
A & R ASSOCIATES,#2 3411 10 ST SE CALGARY,Renewal Licensed,"MANUFACTURER, CONTRACTOR",HIGHFIELD                               
A & S AUTO WORKS,3840 14 ST SE CALGARY,Renewal Licensed,AUTO BODY SHOP,ALYTH/BONNYBROOK                        
A & V AUTO PARTS DEPOT,7735 METIS TR NE CALGARY,Renewal Licensed,SALVAGE YARD/AUTO WRECKER,SADDLE RIDGE INDUSTRIAL                 
A & W,#740 2220 68 ST NE CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES (SEATING),MONTEREY PARK                           
A & W,516 16 AV NW CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES (SEATING),MOUNT PLEASANT                          
A & W,6666 MACLEOD TR SW CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (SEATING)",MANCHESTER INDUSTRIAL                   
A & W,5325 72 AV SE CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES (SEATING),GREAT PLAINS                            
A & W,#400 70 SHAWVILLE BV SE CALGARY,Renewal Invoiced,FOOD SERVICE - PREMISES (SEATING),SHAWNESSY                               
A & W,1320 14 ST SW CALGARY,Pending Renewal,FOOD SERVICE - PREMISES (SEATING),BELTLINE                                
A & W,#5003E 2000M AIRPORT RD NE CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES (NO SEATING),CALGARY INTERNATIONAL AIRPORT           
A & W,#14F 6455 MACLEOD TR SW CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES (NO SEATING),MEADOWLARK PARK                         
A & W,#201 240 4 AV SW CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES (NO SEATING),DOWNTOWN COMMERCIAL CORE                
A & W,5621 SIGNAL HILL CE SW CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (SEATING)",SIGNAL HILL                             
A & W,9104 MACLEOD TR SE CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES (SEATING),ACADIA                                  
A & W,#200 5075 FALCONRIDGE BV NE CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES (SEATING),WESTWINDS                               
A & W,#275 520 3 AV SW CALGARY,Pending Renewal,FOOD SERVICE - PREMISES (NO SEATING),EAU CLAIRE                              
A & W,422 MCKNIGHT BV NE CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (SEATING)",GREENVIEW                               
A & W,10007 24 ST SW CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (SEATING)",OAKRIDGE                                
A & W,150 8 AV SE CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES (SEATING),DOWNTOWN COMMERCIAL CORE                
A & W,80 CROWFOOT WY NW CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES (SEATING),ARBOUR LAKE                             
A & W ,#101F 2525 36 ST NE CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES (NO SEATING),SUNRIDGE                                
A & W ,#270B 605 5 AV SW CALGARY,Renewal Invoiced,"RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (NO SEATING)",DOWNTOWN COMMERCIAL CORE                
A & W ,#110 5111 NORTHLAND DR NW CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (NO SEATING)",BRENTWOOD                               
A & W ,#130 225 7 AV SW CALGARY,Renewal Invoiced,"RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (SEATING)",DOWNTOWN COMMERCIAL CORE                
A & W - #1185,#10FC 100 ANDERSON RD SE CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES (NO SEATING),WILLOW PARK                             
A & W - #1531 (CALGARY AIRPORT),#8001K 2000D AIRPORT RD NE CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES (NO SEATING),CALGARY INTERNATIONAL AIRPORT           
A & W - BEDDINGTON,8220 CENTRE ST NE CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (SEATING)",BEDDINGTON HEIGHTS                      
A & W - EATON'S CENTRE,#433 751 3 ST SW CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (NO SEATING)",DOWNTOWN COMMERCIAL CORE                
A & W - MARLBOROUGH TOWN SQ,#1324 3800 MEMORIAL DR NE CALGARY,Renewal Invoiced,"RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (NO SEATING)",MARLBOROUGH                             
A & W - SHAGANAPPI EXPRESS,5120 SHAGANAPPI TR NW CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (SEATING)",BRENTWOOD                               
A & W - U OF C,#250D 402 COLLEGIATE BV NW CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES (NO SEATING),UNIVERSITY HEIGHTS                      
A & W # 1713,2608 39 AV NE CALGARY,Pending Renewal,"RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (SEATING)",HORIZON                                 
A & W (MARKET MALL),#5J 3625 SHAGANAPPI TR NW CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (NO SEATING)",VARSITY                                 
A & W NORTH HILL,#1820 1632 14 AV NW CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES (NO SEATING),HOUNSFIELD HEIGHTS/BRIAR HILL           
A & W RESTAURANT,80 GLENDEER CI SE CALGARY,Renewal Invoiced,"RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (SEATING)",GLENDEER BUSINESS PARK                  
A & W RESTAURANT,#100 500 COUNTRY HILLS BV NE CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (SEATING)",COUNTRY HILLS VILLAGE                   
A & W RESTAURANT,3663 12 AV NE CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (SEATING)",FRANKLIN                                
A & W RESTAURANT,3210 32 ST NE CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES (SEATING),SUNRIDGE                                
A & W RESTAURANTS,#A 3120 17 AV SE CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (SEATING)",ALBERT PARK/RADISSON HEIGHTS            
A & W SOUTH TRAIL,#190 4307 130 AV SE CALGARY,Renewal Licensed,"FOOD SERVICE - PREMISES (SEATING), OUTDOOR PATIO",MCKENZIE TOWNE                          
A & Z KITCHEN CABINETS,#4150 3961 52 AV NE CALGARY,Renewal Licensed,"MANUFACTURER, CONTRACTOR",WESTWINDS                               
A 1 CEMENT CONTRACTORS,#1 6204 BURBANK RD SE CALGARY,Licensed,CONTRACTOR,BURNS INDUSTRIAL                        
A 1 CONCRETE CUTTING & CORING,4949 HUBALTA RD SE CALGARY,Renewal Licensed,CONTRACTOR,FOREST LAWN INDUSTRIAL                  
A 1 COPY BUREAU,#205 510 5 ST SW CALGARY,Renewal Licensed,MANUFACTURER,DOWNTOWN COMMERCIAL CORE                
A 1 DENTURE CLINIC,#206 602 16 AV NW CALGARY,Renewal Licensed,MANUFACTURER,MOUNT PLEASANT                          
A 1 MORTGAGE CORP,3523 15A ST SW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),ALTADORE                                
A 1 PARTS FOR LESS,7320 36 ST NE CALGARY,Renewal Licensed,SALVAGE YARD/AUTO WRECKER,SADDLE RIDGE INDUSTRIAL                 
A 1 PRINTING,#1133 3961 52 AV NE CALGARY,Renewal Licensed,MANUFACTURER,WESTWINDS                               
A A A DONAIRE & JAMACIAN CUISINE,#20 5315 17 AV SE CALGARY,Pending Renewal,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",FOREST LAWN INDUSTRIAL                  
A A A FASPRINT,#112 1935 32 AV NE CALGARY,Renewal Licensed,MANUFACTURER,SOUTH AIRWAYS                           
A A A SUPPLY HOUSE,#3 2235 30 AV NE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,SOUTH AIRWAYS                           
A A AFFORDABLE AUTO WRECKING,5620 94 AV SE CALGARY,Renewal Licensed,SALVAGE YARD/AUTO WRECKER,SECTION 23                              
A A RENTALS & SUPPLY,#1 7909 FLINT RD SE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,FAIRVIEW INDUSTRIAL                     
A ALBERTA PAWN SHOP NORTH,#3 5268 MEMORIAL DR NE CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, PAWNBROKER",MARLBOROUGH                             
A APNA JEWELLERS,#115 5120 47 ST NE CALGARY,Renewal Licensed,"MANUFACTURER, RETAIL DEALER - PREMISES, SECONDHAND DEALER",WESTWINDS                               
A AUTO SALES,2815 BONNYBROOK RD SE CALGARY,Renewal Licensed,MOTOR VEHICLE DEALER - PREMISES,ALYTH/BONNYBROOK                        
A B C LIQUOR STORE,#24 430 ACADIA DR SE CALGARY,Renewal Licensed,"LIQUOR STORE, FOOD SERVICE - PREMISES",ACADIA                                  
A B C PHARMACY,#159 328 CENTRE ST SE CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES",CHINATOWN                               
A B CUSHING MILLS (2014),7103 30 ST SE CALGARY,Pending Renewal,MANUFACTURER,FOOTHILLS                               
A BETTER SIGN & PROMOTION,#D 4415 58 AV SE CALGARY,Expired,CONTRACTOR,FOOTHILLS                               
A C GLASS & MIRROR,#18 6420 79 AV SE CALGARY,Renewal Licensed,CONTRACTOR,GREAT PLAINS                            
A C MACHINE WORKS,3551F 78 AV SE CALGARY,Renewal Licensed,MANUFACTURER,FOOTHILLS                               
A C R PAINT AND AUTO BODY,#5 4620 PACIFIC RD NE CALGARY,Renewal Licensed,AUTO BODY SHOP,GREENVIEW INDUSTRIAL PARK               
