District Name,School Name,Organization Type,Organization Code,StreetLocation,Latitude,Longitude,Zipcode,Phone,,,,
Bristol School District,Bristol Early Childhood Center-BECC,Public Schools,170411,"240 Stafford Avenue
Bristol, CT 06010
",41.68370252200003, -72.90333137499994,6010,860-584-7072,,,,
Bridgeport School District,Beardsley School,Public Schools,150211,"500 Huntington Rd.
Bridgeport, CT 06610
",41.19985245300006, -73.18192101399995,6610,203-576-7184,,,,
Waterbury School District,Rotella Interdistrict Magnet School,Public Schools,1513311,"380 Pierpont Rd.
Waterbury, CT 06705
",41.54903753900004, -72.97190795899996,6705,203-574-8168,,,,
Bridgeport School District,Bryant School,Public Schools,150411,"230 Poplar St.
Bridgeport, CT 06605
",41.17389001500004, -73.21475817799995,6605,203-576-7303,,,,
Elm City Montessori School District,Elm City Montessori School,Public Charter Schools,2910113,"375 Quinnipiac Avenue
New Haven, CT 06513
",41.30101649000005, -72.88992899599998,6513,203-903-4031,,,,
North Branford School District,Jerome Harrison School,Public Schools,990411,"335 Foxon Rd.
North Branford, CT 06471
",41.32932344500006, -72.81062319999995,6471,203-484-1235,,,,
East Hartford School District,East Hartford High School,Public Schools,436211,"869 Forbes St.
East Hartford, CT 06118
",41.752122617000055, -72.60560871299998,6118,860-622-5200,,,,
Regional School District 15,Regional School District 15,Regional School Districts,2150012,"286 Whittemore Road, Box 395
Middlebury, CT 06762
",41.52712759800005, -73.09113237999998,6762,203-758-8259,,,,
Bridgeport School District,Park City Magnet School,Public Schools,151711,"1526 Chopsey Hill Rd.
Bridgeport, CT 06606
",41.22137453500005, -73.20127582099997,6606,203-576-7547,,,,
Naugatuck School District,Naugatuck High School,Public Schools,886111,"543 Rubber Ave.
Naugatuck, CT 06770
",41.490505778000056, -73.07356814899998,6770,203-720-5400,,,,
Stamford School District,Westhill High School,Public Schools,1356311,"125 Roxbury Rd.
Stamford, CT 06902
",41.09113181400005, -73.56716765299996,6902,203-977-4477,,,,
Canaan School District,Canaan School District,Public School Districts,210011,"246 WARREN TURNPIKE ROAD
Falls Village, CT 06031
",41.93867286700004, -73.36161069999997,6031,860-824-7791,,,,
Bethany School District,Bethany Community School,Public Schools,80111,"44 Peck Rd.
Bethany, CT 06524
",41.42244191700007, -73.00316947199997,6524,203-393-3350,,,,
Capitol Region Education Council,Reggio Magnet School of the Arts,Regional Education Service Center Schools,2410314,"59 Waterville Road
Avon, CT 06001
",41.80167256800007, -72.81900720199997,6001,860-674-8549,,,,
Cheshire School District,Chapman School,Public Schools,250111,"38 Country Club Rd.
Cheshire, CT 06410
",41.519726492000075, -72.89573419099997,6410,203-272-3591,,,,
Granby School District,Kelly Lane Intermediate School,Public Schools,560411,"60 Kelly Ln.
Granby, CT 06035
",41.96753431700006, -72.81109217799997,6035,860-844-3041,,,,
Killingly School District,Killingly High School,Public Schools,696111,"226 Putman Pike
Dayville, CT 06241
",41.85643476100006, -71.88087811499997,6241,860-779-6620,,,,
Torrington School District,Southwest School,Public Schools,1430811,"340 Litchfield St.
Torrington, CT 06790
",41.79422300200008, -73.12735456999997,6790,860-489-2311,,,,
Westport School District,Long Lots School,Public Schools,1580711,"13 Hyde Ln.
Westport, CT 06880
",41.14403883400007, -73.31542288299994,6880,203-341-1910,,,,
Glastonbury School District,Smith Middle School,Public Schools,545211,"216 Addison Rd.
Glastonbury, CT 06033
",41.72333767400005, -72.58035240999999,6033,860-652-7040,,,,
Griswold School District,Griswold Elementary School,Public Schools,580311,"303 Slater Ave.
Griswold, CT 06351
",41.596439789000044, -71.97800310599996,6351,860-376-7610,,,,
Columbia School District,Columbia School District,Public School Districts,300011,"BOX 166, SCHOOLHOUSE ROAD
Columbia, CT 06237
",41.70397098400008, -72.30034078499995,6237,860-228-9493,,,,
Unified School District #1,York Correctional Institution,State Agency Facilities,3362515,"201 West Main St.
Niantic, CT 06357
",41.31919240600007, -72.23322774499997,6357,860-691-6810,,,,
Regional School District 07,Northwestern Regional High School,Regional Schools,2076112,"100 Battistoni Dr.
Winsted, CT 06098
",41.91440879400005, -73.04759698899994,6098,860-379-8525,,,,
Hampton School District,Hampton School District,Public School Districts,630011,"BOX 277, 304 PARISH HILL
Chaplin, CT 06235
",41.781896336000045, -72.12922590499994,6235,860-455-9409,,,,
Monroe School District,Stepney Elementary School,Public Schools,850311,"180 Old Newtown Rd.
Monroe, CT 06468
",41.316495092000025, -73.25478405299998,6468,203-452-2885,,,,
Hamden School District,West Woods School,Public Schools,621411,"350 West Todd St.
Hamden, CT 06518
",41.432053978000056, -72.92432230299994,6518,203-407-2050,,,,
Wolcott School District,Tyrrell Middle School,Public Schools,1665111,"500 Todd Rd.
Wolcott, CT 06716
",41.558019122000076, -72.96867247799997,6716,203-879-8151,,,,
Avon School District,Avon High School,Public Schools,46111,"510 West Avon Rd.
Avon, CT 06001
",41.783275237000055, -72.86437484199996,6001,860-404-4740,,,,
Waterbury School District,Hopeville School,Public Schools,1511311,"2 Cypress St.
Waterbury, CT 06706
",41.53379709300003, -73.03363996999997,6706,203-574-8173,,,,
Hartford School District,Asian Studies Academy,Public Schools,640711,"215 South Street
Hartford, CT 06114
",41.74060574900005, -72.67790885399995,6114,860-695-2400,,,,
Ledyard School District,Ledyard Middle School,Public Schools,725111,"1860 Route 12
Gales Ferry, CT 06335
",41.45347325100005, -72.07014018799998,6335,860-464-0200,,,,
Milford School District,Orchard Hills School,Public Schools,841811,"185 Marino Dr.
Milford, CT 06460
",41.22104467500003, -73.02265227199996,6460,203-783-3566,,,,
Naugatuck School District,City Hill Middle School,Public Schools,885111,"441 City Hill St.
Naugatuck, CT 06770
",41.494089710000026, -73.03443141499997,6770,203-720-5246,,,,
Middletown School District,Middletown School District,Public School Districts,830011,"311 HUNTING HILL AVENUE
MIDDLETOWN, CT 06457
",41.54156203400004, -72.64736068499997,6457,860-638-1401,,,,
Hartford School District,Expeditionary Learning Academy at Moylan School,Public Schools,643211,"101 Catherine St.
Hartford, CT 06106
",41.74627325900008, -72.69846834699996,6106,860-695-4500,,,,
Norwalk School District,Rowayton School,Public Schools,1031311,"1 Roton Ave.
Rowayton, CT 06850
",41.122128976000056, -73.43170647899996,6850,203-899-2940,,,,
Windham School District,Windham Center School,Public Schools,1630511,"45 North Rd., P.O. Box 138
Windham, CT 06280
",41.70214754400007, -72.16068767099995,6280,860-465-2440,,,,
Windham School District,Natchaug School,Public Schools,1630111,"123 Jackson St.
Willimantic, CT 06226
",41.71433316900004, -72.20618871499994,6226,860-465-2380,,,,
Area Cooperative Educational Services,Wintergreen Interdistrict  Magnet School,Regional Education Service Center Schools,2440314,"670 Wintergreen Ave.
Hamden, CT 06514
",41.356547255000066, -72.96301823099998,6514,203-281-9668,,,,
Farmington School District,Union School,Public Schools,520111,"173 School St.
Unionville, CT 06085
",41.75853326300006, -72.88942115699996,6085,860-673-2575,,,,
Windsor Locks School District,North Street School,Public Schools,1650111,"325 North St.
Windsor Locks, CT 06096
",41.937922979000064, -72.64779195199998,6096,860-292-5027,,,,
Lebanon School District,Lyman Memorial High School,Public Schools,716211,"917 Exeter Rd.
Lebanon, CT 06249
",41.62598416000003, -72.23994065099998,6249,860-642-7567,,,,
Milford School District,Calf Pen Meadow School,Public Schools,840111,"395 Welch's Point Rd.
Milford, CT 06460
",41.21316652400003, -73.02905434999997,6460,203-783-3521,,,,
Thomaston School District,Thomaston Center School,Public Schools,1400211,"1 Thomas Ave.
Thomaston, CT 06787
",41.67382887600007, -73.07440235699994,6787,860-283-3036,,,,
Stratford School District,Second Hill Lane School,Public Schools,1381011,"65 Second Hill Ln.
Stratford, CT 06615
",41.21887424300007, -73.14948302599998,6615,203-385-4292,,,,
Lisbon School District,Lisbon School District,Public School Districts,730011,"15 NEWENT ROAD
LISBON, CT 06351
",41.60551287200008, -72.01600947399999,6351,860-376-5565,,,,
Cheshire School District,Highland School,Public Schools,250411,"490 Highland Ave.
Cheshire, CT 06410
",41.51085277000004, -72.89925556499998,6410,203-272-0335,,,,
Department of Mental Health and Addiction Services,Southeast Mental Health Authority,State Agency Facilities,3370715,"401 West Thames St.
Norwich, CT 06360
",41.50503941100004, -72.09015035099998,6360,860-262-7009,,,,
Tolland School District,Tolland School District,Public School Districts,1420011,"51 TOLLAND GRN
Tolland, CT 06084
",41.87157344000008, -72.36905843799997,6084,860-870-6850,,,,
Guilford School District,Guilford School District,Public School Districts,600011,"BOX 367, 55 PARK STREET
Guilford, CT 06437
",41.309007663000045, -72.69606663199994,6437,203-453-8200,,,,
New Fairfield School District,Meeting House Hill School,Public Schools,910211,"24 Gillotti Rd.
New Fairfield, CT 06812
",41.46109608900008, -73.49858499099997,6812,203-312-5905,,,,
Windsor Locks School District,Windsor Locks School District,Public School Districts,1650011,"58 South Elm Street
WINDSOR LOCKS, CT 06096
",41.922258860000056, -72.64781384499997,6096,860-292-5000,,,,
Weston School District,Weston School District,Public School Districts,1570011,"24 School Road
WESTON, CT 06883
",41.205515373000026, -73.37926736199995,6883,203-291-1401,,,,
New Britain School District,New Britain School District,Public School Districts,890011,"One Liberty Square
NEW BRITAIN, CT 06051
",41.66486182500006, -72.77948286599997,6051,860-827-2200,,,,
Hartford School District,HPHS Law and Government Academy,Public Schools,647411,"55 Forest Street
Hartford, CT 06105
",41.763926120000065, -72.70057682999999,6105,860-695-1300,,,,
Union School District,Union School District,Public School Districts,1450011,"18 KINNEY HOLLOW ROAD
UNION, CT 06076
",41.98791119100008, -72.16065221499997,6076,860-684-3146,,,,
East Haven School District,Joseph Melillo Middle School,Public Schools,445111,"67 Hudson St.
East Haven, CT 06512
",41.28526318100006, -72.86772493699993,6512,203-468-3227,,,,
Bridgeport School District,Columbus School,Public Schools,150511,"300 University Avenue
Bridgeport, CT 06604
",41.165573478000056, -73.19084922099995,6604,203-275-2100,,,,
New Haven School District,Conte/West Hills Magnet School,Public Schools,933111,"511 Chapel St.
New Haven, CT 06511
",41.303727200000026, -72.91555613499997,6511,203-946-8613,,,,
South Windsor School District,Wapping Elementary School,Public Schools,1320411,"91 Ayers Rd.
South Windsor, CT 06074
",41.84502137800007, -72.55564994299993,6074,860-648-5010,,,,
Brookfield School District,Huckleberry Hill Elementary School,Public Schools,180411,"100 Candlewood Lake Rd.
Brookfield, CT 06804
",41.44750838200008, -73.41629363299995,6804,203-775-7675,,,,
Plainville School District,Frank T. Wheeler School,Public Schools,1100411,"15 Cleverland Memorial Dr.
Plainville, CT 06062
",41.67218929200004, -72.86402716499998,6062,860-793-3290,,,,
New Hartford School District,New Hartford Elementary School,Public Schools,920211,"P.O. Box 367, 40 Wickett St.
New Hartford, CT 06057
",41.853067526000075, -73.01071889599996,6057,860-379-8546,,,,
New Haven School District,Hill Regional Career High School,Public Schools,936311,"140 Legion Ave.
New Haven, CT 06519
",41.306093444000055, -72.94048996899994,6519,203-946-5845,,,,
Greenwich School District,Riverside School,Public Schools,571011,"90 Hendrie Ave.
Riverside, CT 06878
",41.03382838700003, -73.57895046699997,6878,203-637-1440,,,,
Norwich School District,Uncas School,Public Schools,1041911,"280 Elizabeth St.
Norwich, CT 06360
",41.514952108000045, -72.09317705799998,6360,860-823-4208,,,,
Lebanon School District,Lebanon Middle School,Public Schools,715111,"891 Exeter Rd.
Lebanon, CT 06249
",41.62716409600006, -72.23617153699996,6249,860-642-4702,,,,
West Hartford School District,Norfeldt School,Public Schools,1551011,"35 Barksdale Rd.
West Hartford, CT 06117
",41.79411590400008, -72.76123179199993,6117,860-233-4421,,,,
Tolland School District,Birch Grove Primary School,Public Schools,1420111,"247 Rhodes RD
Tolland, CT 06084
",41.86121557900003, -72.33695471399994,6084,860-870-6750,,,,
Glastonbury School District,Hopewell School,Public Schools,540611,"1068 Chestnut Hill Rd.
South Glastonbury, CT 06073
",41.68075774600004, -72.55337107699995,6073,860-652-7897,,,,
Greenwich School District,Old Greenwich School,Public Schools,570911,"825 Sound Beach Ave.
Old Greenwich, CT 06870
",41.031491146000064, -73.56777857599997,6870,203-637-0150,,,,
Farmington School District,Farmington High School,Public Schools,526111,"10 Monteith Dr
Farmington, CT 06032
",41.748562771000024, -72.86832408899994,6032,860-673-2514,,,,
Watertown School District,Fletcher W. Judson School,Public Schools,1530311,"124 Hamilton Lane
Watertown, CT 06795
",41.601524674000075, -73.13046667199995,6795,860-945-4850,,,,
New Milford School District,Sarah Noble Intermediate School,Public Schools,960911,"25 Sunny Valley Rd.
New Milford, CT 06776
",41.56808315100005, -73.41792872099995,6776,860-210-4020,,,,
Madison School District,Daniel Hand High School,Public Schools,766111,"286 Green Hill Rd.
Madison, CT 06443
",41.296670980000044, -72.62127669999995,6443,203-245-6350,,,,
Waterford School District,Waterford High School,Public Schools,1526111,"20 Rope Ferry Rd.
Waterford, CT 06385
",41.342328001000055, -72.13158231799997,6385,860-437-6956,,,,
Bethel School District,Frank A. Berry School,Public Schools,90111,"200 Whittlesey Dr.
Bethel, CT 06801
",41.379455645000064, -73.39431517299994,6801,203-794-8680,,,,
Wilton School District,Wilton School District,Public School Districts,1610011,"395 DANBURY ROAD, BOX 277
Wilton, CT 06897
",41.21092879300005, -73.43195314299999,6897,203-762-3381,,,,
Woodstock Academy District,Woodstock Academy,Endowed and Incorporated Academies Schools,9036122,"57 Academy Rd.
Woodstock, CT 06281
",41.951893244000075, -71.97667767299998,6281,860-928-6575,,,,
Windsor Locks School District,Windsor Locks Middle School,Public Schools,1655111,"7 Center St.
Windsor Locks, CT 06096
",41.92516261000003, -72.63328702799998,6096,860-292-5012,,,,
Wallingford School District,Highland School,Public Schools,1480211,"200 Highland Ave.
Wallingford, CT 06492
",41.487989664000054, -72.84237822999995,6492,203-294-3970,,,,
Regional School District 14,Mitchell Elementary School,Regional Schools,2140212,"14 School St.
Woodbury, CT 06798
",41.54754465900004, -73.20953552099996,6798,203-263-4314,,,,
Waterbury School District,John F. Kennedy High School,Public Schools,1516411,"422 Highland Ave.
Waterbury, CT 06708
",41.54610698100004, -73.05614788699995,6708,203-574-8153,,,,
Manchester School District,Waddell School,Public Schools,771311,"163 Broad St.
Manchester, CT 06042
",41.78323721100003, -72.53523475999998,6042,860-647-3392,,,,
New Hartford School District,Ann Antolini School,Public Schools,920311,"30 Antolini Rd. Room 29
New Hartford, CT 06057
",41.82900079800004, -73.01606526199998,6057,860-489-4169,,,,
New Fairfield School District,New Fairfield School District,Public School Districts,910011,"3 BRUSH HILL ROAD
New Fairfield, CT 06812
",41.465905244000055, -73.48588448199996,6812,203-312-5770,,,,
